run_idx,seed,fold,num_folds,best_epoch,best_valid_loss,valid_mae,valid_medae,valid_mape,valid_mse,valid_rmse,valid_r2,test_mae,test_medae,test_mape,test_mse,test_rmse,test_r2,result_dir
0,42,1,10,63,87.79871368408203,88.2987060546875,61.342559814453125,0.1742103099822998,13314.3056640625,115.38763219714018,0.8351413607597351,65.9126968383789,42.4991455078125,0.1094435304403305,7649.25146484375,87.45999922732534,0.8610140681266785,Train/Results/DeepGCNRT/RIKENMONA/MTBLS87_147/20260414_055615_653_fold01of10_6d223afe
0,42,2,10,78,59.953739166259766,60.4537239074707,27.1168212890625,0.09218453615903854,7192.95458984375,84.81128810390601,0.8551456928253174,93.87541961669922,94.17828369140625,0.16770583391189575,13709.556640625,117.08781593583937,0.8181579113006592,Train/Results/DeepGCNRT/RIKENMONA/MTBLS87_147/20260414_055627_120_fold02of10_6df770d5
0,42,3,10,32,57.22883224487305,57.72883224487305,29.376495361328125,0.08940009027719498,6631.9287109375,81.43665459077687,0.8664438724517822,100.7455062866211,74.548828125,0.1314234584569931,19827.13671875,140.80886590960813,0.5748023390769958,Train/Results/DeepGCNRT/RIKENMONA/MTBLS87_147/20260414_055634_441_fold03of10_2d5f964f
0,42,4,10,22,76.8975830078125,77.39484405517578,58.45497131347656,0.11388617753982544,11752.3408203125,108.40821380463983,0.7633272409439087,84.87056732177734,57.69158935546875,0.15224680304527283,12485.0,111.73629669896886,0.6598997116088867,Train/Results/DeepGCNRT/RIKENMONA/MTBLS87_147/20260414_055640_494_fold04of10_09e9c294
0,42,5,10,26,67.10179901123047,67.60179138183594,47.8436279296875,0.10798812657594681,8223.6630859375,90.68441479073182,0.8343889713287354,171.9376983642578,110.591796875,0.31691068410873413,59370.046875,243.6596948102004,0.50822913646698,Train/Results/DeepGCNRT/RIKENMONA/MTBLS87_147/20260414_055647_135_fold05of10_78522332
0,42,6,10,24,59.65599822998047,60.15598678588867,40.6656494140625,0.09481111913919449,6162.06298828125,78.4988088335183,0.8759061694145203,107.2962417602539,88.80072021484375,0.20274077355861664,15988.005859375,126.4436865144915,0.6833767294883728,Train/Results/DeepGCNRT/RIKENMONA/MTBLS87_147/20260414_055652_770_fold06of10_550aef9d
0,42,7,10,42,73.08779907226562,73.58699035644531,49.051055908203125,0.10811188071966171,12829.822265625,113.26880535092175,0.7416285276412964,106.80403900146484,67.78387451171875,0.20386067032814026,20773.9296875,144.13164013324763,0.6262563467025757,Train/Results/DeepGCNRT/RIKENMONA/MTBLS87_147/20260414_055701_373_fold07of10_ec07589b
0,42,8,10,19,70.09864044189453,70.59864807128906,49.963226318359375,0.10536613315343857,9650.068359375,98.23476146138393,0.805663526058197,111.1257553100586,68.20086669921875,0.14833486080169678,28817.466796875,169.75708172820066,0.37853479385375977,Train/Results/DeepGCNRT/RIKENMONA/MTBLS87_147/20260414_055707_187_fold08of10_dd26bd43
0,42,9,10,122,76.07817840576172,76.57817077636719,48.840789794921875,0.12045940011739731,10188.5771484375,100.93848199986712,0.7948188185691833,106.46253967285156,81.5733642578125,0.14437074959278107,24535.203125,156.63717031726537,0.3293374180793762,Train/Results/DeepGCNRT/RIKENMONA/MTBLS87_147/20260414_055723_863_fold09of10_3e1d8443
0,42,10,10,16,48.493324279785156,48.99332809448242,14.813812255859375,0.0732048898935318,5130.1416015625,71.6250068171899,0.896687388420105,147.01358032226562,112.39114379882812,0.22625695168972015,53337.50390625,230.94913705456878,0.4803348779678345,Train/Results/DeepGCNRT/RIKENMONA/MTBLS87_147/20260414_055729_415_fold10of10_f5723fbc
