run_idx,seed,fold,num_folds,best_epoch,best_valid_loss,valid_mae,valid_medae,valid_mape,valid_mse,valid_rmse,valid_r2,test_mae,test_medae,test_mape,test_mse,test_rmse,test_r2,result_dir
0,42,1,10,81,25.006315231323242,25.506311416625977,13.137935638427734,0.37578073143959045,2037.7286376953125,45.141207756276444,-0.16079771518707275,11.648431777954102,6.540035247802734,0.17327482998371124,279.2576599121094,16.711004156306988,0.9083302021026611,Train/Results/DeepGCNRT/RIKENMONA/LIFE_old_194/20260414_051609_106_fold01of10_7099f3e5
0,42,2,10,37,12.201004028320312,12.679327964782715,10.843307495117188,0.1721196174621582,286.7901916503906,16.934880916333324,0.9105627536773682,30.210590362548828,16.694995880126953,0.4558480381965637,3008.089599609375,54.846053637516846,-0.7771915197372437,Train/Results/DeepGCNRT/RIKENMONA/LIFE_old_194/20260414_051618_787_fold02of10_463cca8a
0,42,3,10,126,15.190593719482422,15.690591812133789,11.221717834472656,0.2526453733444214,456.8810119628906,21.37477513245205,0.8575189709663391,18.20574951171875,15.558782577514648,0.22705745697021484,478.71771240234375,21.879618653037436,0.9172177910804749,Train/Results/DeepGCNRT/RIKENMONA/LIFE_old_194/20260414_051642_286_fold03of10_7be85c72
0,42,4,10,32,12.7938871383667,13.283424377441406,7.8864898681640625,0.21529917418956757,349.5627136230469,18.696596311175114,0.8909868001937866,25.592395782470703,20.184255599975586,0.42359933257102966,1111.522705078125,33.33950667118704,0.8010790944099426,Train/Results/DeepGCNRT/RIKENMONA/LIFE_old_194/20260414_051652_438_fold04of10_ec9884db
0,42,5,10,133,10.864229202270508,11.364224433898926,8.96417236328125,0.16941289603710175,228.736328125,15.124031477254999,0.9286672472953796,18.75702476501465,15.329963684082031,0.27527686953544617,567.7700805664062,23.82792648482881,0.8845771551132202,Train/Results/DeepGCNRT/RIKENMONA/LIFE_old_194/20260414_051717_407_fold05of10_428eb030
0,42,6,10,75,10.403695106506348,10.8667631149292,8.0272216796875,0.13466006517410278,216.1904754638672,14.703417135613993,0.9325796961784363,19.588476181030273,17.305004119873047,0.30293846130371094,540.6473999023438,23.251825732667612,0.9143053889274597,Train/Results/DeepGCNRT/RIKENMONA/LIFE_old_194/20260414_051734_093_fold06of10_fa003ee4
0,42,7,10,56,13.204781532287598,13.704779624938965,8.0498046875,0.23769286274909973,451.0775146484375,21.238585514304795,0.8593288064002991,16.947134017944336,16.397666931152344,0.2648714482784271,439.9415588378906,20.97478388060031,0.9212907552719116,Train/Results/DeepGCNRT/RIKENMONA/LIFE_old_194/20260414_051746_288_fold07of10_c39e46bd
0,42,8,10,72,12.674915313720703,13.154962539672852,7.041618347167969,0.20374919474124908,333.1568908691406,18.252585868011707,0.896103024482727,38.31325149536133,17.196800231933594,0.2803919315338135,7326.54296875,85.59522748816082,-0.8606830835342407,Train/Results/DeepGCNRT/RIKENMONA/LIFE_old_194/20260414_051802_013_fold08of10_2d28a931
0,42,9,10,137,16.740520477294922,17.23773765563965,14.5694580078125,0.25811395049095154,426.0318298339844,20.640538506395234,0.867139458656311,15.066878318786621,9.040754318237305,0.25398385524749756,450.987548828125,21.23646742817941,0.9232509732246399,Train/Results/DeepGCNRT/RIKENMONA/LIFE_old_194/20260414_051826_450_fold09of10_e9d5184f
0,42,10,10,82,12.543495178222656,13.04254150390625,8.41357421875,0.1939154863357544,307.48687744140625,17.53530374534203,0.9041084051132202,21.680152893066406,16.195587158203125,0.3774394094944,897.9044799804688,29.96505431299047,0.08143824338912964,Train/Results/DeepGCNRT/RIKENMONA/LIFE_old_194/20260414_051843_911_fold10of10_006b9274
