epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,210.7292649289395,183.5626678466797,129.9871826171875,211.22634887695312,184.06263732910156,130.48716735839844,142.2080078125,145.951171875,87.64508056640625,1.0394840240478516,0.9632492065429688,0.25623396039009094,126086.875,64262.7265625,31606.33203125,355.0871371931121,253.50093996374056,177.78169768356358,-1.388322114944458,-0.33534860610961914,-1.3858113288879395,183.5626678466797
2,0.0009997532801828658,154.28506226235248,179.7453155517578,125.02928924560547,154.78297424316406,180.24530029296875,125.523193359375,91.35137939453125,125.69598388671875,85.68475341796875,0.9137572646141052,0.94888836145401,0.25218817591667175,53746.015625,62074.0234375,28307.732421875,231.83186930402817,249.14659025862665,168.2490190814645,-0.018050551414489746,-0.2898683547973633,-1.1368157863616943,179.7453155517578
3,0.0009994449374809851,132.13662362605967,186.0998077392578,136.19715881347656,132.6338653564453,186.59983825683594,136.69715881347656,57.05206298828125,106.82257080078125,110.592529296875,0.843068540096283,0.9458585381507874,0.2702307403087616,44785.9609375,60720.2734375,29382.779296875,211.62693811870926,246.4148401324482,171.4140580491431,0.15166962146759033,-0.2617381811141968,-1.217965841293335,179.7453155517578
4,0.0009990133642141358,133.35157646016873,161.5026397705078,112.31297302246094,133.85140991210938,162.00265502929688,112.8129653930664,67.77117919921875,63.24420166015625,91.151123046875,0.8033208847045898,0.8768692016601562,0.22833865880966187,46192.8125,52865.00390625,21427.291015625,214.92513231355704,229.92390894869982,146.3806374341395,0.12502121925354004,-0.09850943088531494,-0.6174439191818237,161.5026397705078
5,0.000998458666866564,121.77119348404256,144.9072723388672,97.936279296875,122.27119445800781,145.40725708007812,98.436279296875,62.547698974609375,62.195465087890625,74.27978515625,0.7403135299682617,0.8251728415489197,0.20051468908786774,35674.06640625,48202.72265625,17381.537109375,188.87579624253078,219.55118459313763,131.83905760196785,0.32426607608795166,-0.001629471778869629,-0.3120492696762085,144.9072723388672
6,0.00099778098230154,118.14044481642703,149.27728271484375,95.86542510986328,118.63780975341797,149.77728271484375,96.36543273925781,66.7298583984375,68.76760864257812,72.1944580078125,0.7019539475440979,0.8257595300674438,0.1968124359846115,31468.361328125,47907.93359375,16175.7060546875,177.39323924018356,218.87881028950702,127.1837491768799,0.40393006801605225,0.004496157169342041,-0.22102689743041992,144.9072723388672
7,0.0009969804777275899,109.7894407231757,159.62091064453125,98.17699432373047,110.28943634033203,160.10401916503906,98.6769790649414,58.473114013671875,132.61566162109375,66.6541748046875,0.6627945899963379,0.8457009792327881,0.20238131284713745,28644.1171875,50514.34765625,16020.9189453125,169.24573018986328,224.75397139149732,126.57376878845197,0.4574265480041504,-0.04966390132904053,-0.20934271812438965,144.9072723388672
8,0.000996057350657239,102.50850742421251,172.81565856933594,102.70980834960938,103.00849151611328,173.31565856933594,103.20979309082031,56.078765869140625,138.52435302734375,101.08172607421875,0.6391252279281616,0.8623456358909607,0.21254466474056244,25640.6328125,53630.66015625,17845.650390625,160.12692719371094,231.58294444161902,133.587613163141,0.5143181085586548,-0.11441934108734131,-0.3470829725265503,144.9072723388672
9,0.0009950118288582787,97.95702702948388,176.80540466308594,107.72625732421875,98.45140838623047,177.305419921875,108.22624969482422,51.23895263671875,136.26751708984375,117.26437377929688,0.619827926158905,0.8510621786117554,0.22162915766239166,24497.77734375,53467.71484375,19729.994140625,156.51765824899758,231.23086914110323,140.46349753806146,0.5359660387039185,-0.11103343963623047,-0.48932313919067383,144.9072723388672
10,0.0009938441702975688,97.22601691712724,166.022216796875,98.12703704833984,97.71805572509766,166.52220153808594,98.62702941894531,50.506561279296875,103.531494140625,94.17828369140625,0.5984463095664978,0.8125171065330505,0.2044958472251892,23639.73046875,48983.5859375,17362.384765625,153.75217224075243,221.32235751839443,131.76640226410146,0.552219033241272,-0.017855405807495117,-0.31060361862182617,144.9072723388672
